"MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","YrSold","SaleType","SaleCondition"
20,"RL",53,3710,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","1Fam","1Story",7,5,2007,2008,"Gable","CompShg","WdShing","Wd Shng","BrkFace",20,"Gd","TA","PConc","Gd","TA","Gd","Unf",0,"Unf",0,1146,1146,"GasA","Ex","Y","SBrkr",1246,0,1246,0,0,2,0,2,1,"Gd",5,"Typ",1,"Attchd",2007,"Fin",2,428,"TA","TA","Y",100,24,0,3,2008,"New","Partial"
60,"RL",73.6337136886919,10304,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NWAmes","PosN","Norm","1Fam","2Story",5,7,1976,1976,"Gable","CompShg","Plywood","Plywood","BrkFace",44,"TA","Gd","CBlock","TA","TA","No","ALQ",381,"Unf",0,399,780,"GasA","Ex","Y","SBrkr",1088,780,1868,1,0,2,1,4,1,"Gd",9,"Typ",1,"Attchd",1976,"Unf",2,484,"TA","TA","Y",448,96,0,10,2009,"WD","Normal"
75,"RM",90,8100,"Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2.5Unf",5,5,1898,1965,"Hip","CompShg","AsbShng","AsbShng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,849,849,"GasA","TA","N","FuseA",1075,1063,2138,0,0,2,0,2,3,"TA",11,"Typ",0,"Detchd",1910,"Unf",2,360,"Fa","Po","N",40,156,0,11,2009,"WD","Normal"
20,"RL",71,9204,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1963,1963,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",25,"Rec",872,247,1144,"GasA","TA","Y","SBrkr",1144,0,1144,1,0,1,1,3,1,"TA",6,"Typ",0,"Detchd",1962,"Unf",1,336,"TA","TA","Y",0,88,0,8,2008,"COD","Normal"
20,"FV",72,8640,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1339,1363,"GasA","Ex","Y","SBrkr",1372,0,1372,0,0,2,0,3,1,"Gd",6,"Typ",0,"Attchd",2008,"RFn",2,588,"TA","TA","Y",192,113,0,7,2008,"New","Partial"
30,"RM",90,8100,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,6,1948,1973,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","BrkTil","TA","TA","No","Rec",338,"Unf",0,1221,1559,"GasA","Gd","Y","SBrkr",1559,0,1559,1,0,1,0,2,1,"TA",5,"Min2",0,"Detchd",1948,"Unf",2,812,"TA","TA","Y",0,116,230,6,2007,"COD","Normal"
50,"RL",51,6171,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin",6,6,1925,1990,"Gable","CompShg","WdShing","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","BLQ",264,"Unf",0,712,976,"GasA","Ex","Y","SBrkr",1160,448,1608,0,0,2,1,3,1,"Gd",7,"Typ",1,"Detchd",1925,"Unf",1,216,"Fa","TA","Y",147,16,0,10,2009,"WD","Normal"
20,"RL",60,9000,"Pave","Reg","Lvl","AllPub","FR2","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,7,1971,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",240,"Unf",0,624,864,"GasA","Gd","Y","SBrkr",864,0,864,0,0,1,0,3,1,"TA",5,"Typ",0,"Detchd",1986,"Unf",2,576,"TA","TA","Y",200,0,0,7,2009,"WD","Normal"
60,"RL",86,11839,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,1990,1990,"Hip","CompShg","HdBoard","HdBoard","BrkFace",99,"TA","TA","PConc","Gd","TA","No","GLQ",1085,"Unf",0,390,1475,"GasA","Ex","Y","SBrkr",1532,797,2329,1,0,2,1,4,1,"Gd",10,"Typ",1,"Attchd",1990,"Unf",2,514,"TA","TA","Y",192,121,0,5,2008,"WD","Normal"
20,"RL",73,9803,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",7,5,2009,2010,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1214,1214,"GasA","Ex","Y","SBrkr",1214,0,1214,0,0,2,0,2,1,"Gd",6,"Typ",0,"Attchd",2010,"RFn",2,520,"TA","TA","Y",0,25,0,1,2010,"New","Partial"
